MDLYR_DT,VI_MFR_CD,VI_MFR_NM,GBE_INDX_NUM,OV_ID,VC_CNFG_NUM,CL_NM,CLS_TYP_CD,GBE_CID_MSR,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,ECS_CD_0,ECS_CD_1,ECS_CD_2,ECS_CD_3,EVCS_CD,TRNS,DRV_SYS_CD,TOD_CD,VC_DSN_ETW_MSR,VC_CMPRSN_RAT_MSR,VC_AXLE_RAT_MSR,VC_NV_RAT_MSR,TPF_ACHP_IND_CD,TPF_DYNO_HP_MSR,SIL_CD,TST_PRC_CD,TST_PRPS_CD,TST_NUM_ID,Test Originator,VEH_FL_TYP_CD,CH_CD,AVRG_CD,GT_WT_MSR,CMYT_HC_FE_MSR,CMYT_CO_FE_MSR,CMYT_CO2_FE_MSR,CMYT_NOX_MSR,CMYT_PM_MSR,GT_RND_ADJ_QTY,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,ENG_CD,EF_ID,VC_CYL_CNT,TPF_MFR_CSTDN_MSR
2001,20,Chrysler LLC,20,V9BR1-3140,5,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,5000,9.1,3.21,28.0,Y,14.3,3,2,31,1023496,MFR,6,C,E,0.65,0.140,1.74,570,0.37,,15.5,,,,,,,FM-100,1CRXT05.95B8,8,16.06
2001,20,Chrysler LLC,20,V9BR1-3140,5,RAM 1500 PICKUP 2WD,T,318,N,230,20,99,,,,102,M5,R,2,5000,9.1,3.21,28.0,Y,14.3,3,3,31,1023497,MFR,6,H,E,0.65,0.010,0.17,365,,,24.3,,,,,,,FM-100,1CRXT05.95B8,8,16.06
2001,20,Chrysler LLC,20,V9BR6-5247,0,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,L4,4,2,6000,9.1,3.55,28.1,Y,16.9,1,2,31,1023308,MFR,6,C,,,0.182,1.72,688,0.15,,12.8,,,,,,,FA-200,1CRXT05.96B8,8,14.91
2001,20,Chrysler LLC,20,V9BR6-5247,0,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,L4,4,2,6000,9.1,3.55,28.1,Y,16.9,1,3,31,1023309,MFR,6,H,,,0.039,0.25,435,,,20.4,,,,,,,FA-200,1CRXT05.96B8,8,14.91
2001,20,Chrysler LLC,20,V9BR6-5247,1,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,L4,4,2,5500,9.1,3.55,27.3,Y,16.6,1,2,31,1023374,MFR,6,C,,,0.174,1.55,665,0.14,,13.3,,,,,,,FA-200,1CRXT05.96B8,8,13.36
2001,20,Chrysler LLC,20,V9BR6-5247,1,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,L4,4,2,5500,9.1,3.55,27.3,Y,16.6,1,3,31,1023375,MFR,6,H,,,0.054,0.22,428,,,20.7,,,,,,,FA-200,1CRXT05.96B8,8,13.36
2001,20,Chrysler LLC,20,V9BR6-5247,2,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,L4,4,2,5250,9.1,3.55,27.3,Y,16.2,1,2,31,1023376,MFR,6,C,,,0.172,1.51,638,0.13,,13.8,,,,,,,FA-400,1CRXT05.95B8,8,13.28
2001,20,Chrysler LLC,20,V9BR6-5247,2,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,L4,4,2,5250,9.1,3.55,27.3,Y,16.2,1,3,31,1023377,MFR,6,H,,,0.050,0.14,408,,,21.7,,,,,,,FA-400,1CRXT05.95B8,8,13.28
2001,20,Chrysler LLC,20,V9R6-3262,0,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5250,9.1,3.55,30.9,Y,16.8,2,2,31,9001892,EPA,6,C,A,0.35,0.200,1.15,695,0.46,,12.8,,,,,,,FM-200,1CRXT05.95B8,8,14.61
2001,20,Chrysler LLC,20,V9R6-3262,0,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5250,9.1,3.55,30.9,Y,16.8,2,3,31,9001891,EPA,6,H,A,0.35,0.036,0.19,434,,,20.5,,,,,,,FM-200,1CRXT05.95B8,8,14.61
2001,20,Chrysler LLC,20,V9R6-3262,1,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5500,9.1,3.55,29.8,Y,16.6,2,2,31,1023650,MFR,6,C,B,0.35,0.140,1.09,664,0.52,,13.3,,,,,,,FM-200,1CRXT05.96B8,8,15.36
2001,20,Chrysler LLC,20,V9R6-3262,1,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5500,9.1,3.55,29.8,Y,16.6,2,3,31,1023651,MFR,6,H,B,0.35,0.023,0.13,399,,,22.2,,,,,,,FM-200,1CRXT05.96B8,8,15.36
2001,20,Chrysler LLC,20,V9R6-3262,2,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,6000,9.1,3.55,29.8,Y,16.8,2,2,31,1023648,MFR,6,C,C,0.35,0.168,1.11,692,0.48,,12.8,,,,,,,FM-200,1CRXT05.96B8,8,16.50
2001,20,Chrysler LLC,20,V9R6-3262,2,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,6000,9.1,3.55,29.8,Y,16.8,2,3,31,1023649,MFR,6,H,C,0.35,0.031,0.19,407,,,21.8,,,,,,,FM-200,1CRXT05.96B8,8,16.50
2001,20,Chrysler LLC,20,V9R6-3262,3,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5500,9.1,3.55,29.8,Y,16.6,3,2,31,1023656,MFR,6,C,A,0.65,0.203,1.87,585,0.49,,15.1,,,,,,,FM-200,1CRXT05.96B8,8,15.36
2001,20,Chrysler LLC,20,V9R6-3262,3,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5500,9.1,3.55,29.8,Y,16.6,3,3,31,1023657,MFR,6,H,A,0.65,0.015,0.15,410,,,21.6,,,,,,,FM-200,1CRXT05.96B8,8,15.36
2001,20,Chrysler LLC,20,V9R6-3262,4,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,6000,9.1,3.55,29.8,Y,16.8,3,2,31,1023652,MFR,6,C,B,0.65,0.185,1.90,583,0.47,,15.1,,,,,,,FM-200,1CRXT05.96B8,8,16.50
2001,20,Chrysler LLC,20,V9R6-3262,4,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,6000,9.1,3.55,29.8,Y,16.8,3,3,31,1023653,MFR,6,H,B,0.65,0.017,0.17,401,,,22.1,,,,,,,FM-200,1CRXT05.96B8,8,16.50
2001,20,Chrysler LLC,20,V9R6-3262,5,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5250,9.1,3.55,30.9,Y,16.8,3,2,31,1023693,MFR,6,C,C,0.65,0.235,2.03,603,0.43,,14.6,,,,,,,FM-200,1CRXT05.95B8,8,14.61
2001,20,Chrysler LLC,20,V9R6-3262,5,RAM 1500 PICKUP 4WD,T,318,N,230,20,99,,,,102,M5,4,2,5250,9.1,3.55,30.9,Y,16.8,3,3,31,1023692,MFR,6,H,C,0.65,0.015,0.14,415,,,21.4,,,,,,,FM-200,1CRXT05.95B8,8,14.61
2001,20,Chrysler LLC,25,V1BE1-8393,0,RAM 1500 PICKUP 2WD,T,318,N,225,,,,,,102,L4,R,2,4750,9.1,3.55,28.2,Y,14.5,1,2,31,1032495,MFR,6,C,,,0.181,1.98,599,0.12,,14.8,,,,,,,FA-100,1CRXT05.95B1,8,13.50
2001,20,Chrysler LLC,25,V1BE1-8393,0,RAM 1500 PICKUP 2WD,T,318,N,225,,,,,,102,L4,R,2,4750,9.1,3.55,28.2,Y,14.5,1,3,31,1032496,MFR,6,H,,,0.057,0.37,388,,,22.9,,,,,,,FA-100,1CRXT05.95B1,8,13.50
2001,20,Chrysler LLC,25,V1BE1-8393,1,RAM 1500 PICKUP 2WD,T,318,N,225,,,,,,102,L4,R,2,5250,9.1,3.55,28.2,Y,13.6,1,2,31,1032493,MFR,6,C,,,0.164,1.71,614,0.13,,14.4,,,,,,,FA-100,1CRXT05.95B1,8,15.50
2001,20,Chrysler LLC,25,V1BE1-8393,1,RAM 1500 PICKUP 2WD,T,318,N,225,,,,,,102,L4,R,2,5250,9.1,3.55,28.2,Y,13.6,1,3,31,1032494,MFR,6,H,,,0.058,0.29,381,,,23.3,,,,,,,FA-100,1CRXT05.95B1,8,15.50
2001,20,Chrysler LLC,30,V9BR1-6147,0,RAM 1500 PICKUP 2WD,T,360,N,245,20,99,,,,102,L4,R,2,5250,8.9,3.55,28.2,Y,13.6,1,2,31,1023630,MFR,6,C,,,0.120,1.77,658,0.14,,13.4,,,,,,,FA-500,1CRXT05.95B8,8,15.50
