"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"65","65","Sunday, Jun 14","boxscore","OAK","@","LAA","W","8","1","","26-39","5","10.5","Gray","Shoemaker","","3:16","D","35,143","+"
"66","66","Monday, Jun 15","boxscore","OAK","@","SDP","W","9","1","","27-39","5","10.5","Hahn","Ross","","3:18","N","30,018","++"
"67","67","Tuesday, Jun 16","boxscore","OAK","@","SDP","W","6","5","","28-39","5","10.5","Scribner","Kimbrel","Clippard","2:57","D","28,482","+++"
"68","68","Wednesday, Jun 17","boxscore","OAK","","SDP","W","16","2","","29-39","5","10.5","Chavez","Despaigne","","2:49","N","20,625","++++"
"69","69","Thursday, Jun 18","boxscore","OAK","","SDP","L","1","3","","29-40","5","11.5","Kennedy","Graveman","Kimbrel","2:39","D","16,643","-"
"70","70","Friday, Jun 19","boxscore","OAK","","LAA","L","7","12","","29-41","5","11.5","Salas","Mujica","","3:38","N","25,528","--"
"71","71","Saturday, Jun 20","boxscore","OAK","","LAA","W","4","1","","30-41","5","10.5","Hahn","Weaver","Clippard","2:59","D","26,471","+"
"72","72","Sunday, Jun 21","boxscore","OAK","","LAA","W","3","2","","31-41","5","10.5","Kazmir","Richards","Clippard","2:58","D","29,137","++"
"73","73","Tuesday, Jun 23","boxscore","OAK","@","TEX","W","8","6","","32-41","5","10.0","Chavez","Gonzalez","Pomeranz","3:17","N","35,889","+++"
"74","74","Wednesday, Jun 24","boxscore","OAK","@","TEX","W","8","2","","33-41","5","9.0","Graveman","Rodriguez","","2:46","N","34,216","++++"
"75","75","Thursday, Jun 25","boxscore","OAK","@","TEX","W","6","3","","34-41","4","9.0","Gray","Kela","Clippard","2:57","D","29,251","+++++"
"76","76","Friday, Jun 26","boxscore","OAK","","KCR","L","2","5","","34-42","5","9.0","Volquez","Hahn","Holland","2:51","N","27,365","-"
"77","77","Saturday, Jun 27","boxscore","OAK","","KCR","L","2","3","","34-43","5","9.0","Young","Kazmir","Holland","2:49","D","28,619","--"
"78","78","Sunday, Jun 28","boxscore","OAK","","KCR","L","3","5","","34-44","5","10.0","Guthrie","Chavez","Davis","2:58","D","22,477","---"
"79","79","Monday, Jun 29","boxscore","OAK","","COL","W","7","1","","35-44","5","10.0","Graveman","Hale","","2:40","N","12,125","+"
"80","80","Tuesday, Jun 30","boxscore","OAK","","COL","L","1","2","","35-45","5","11.0","De La Rosa","Bassitt","Hawkins","2:56","N","19,206","-"
"81","81","Wednesday, Jul 1","boxscore","OAK","","COL","W","4","1","","36-45","5","11.0","Hahn","Bettis","Clippard","3:14","D","17,655","+"
"82","82","Thursday, Jul 2","boxscore","OAK","","SEA","W","4","0","","37-45","5","10.5","Kazmir","Elias","","2:17","N","13,062","++"
"83","83","Friday, Jul 3","boxscore","OAK","","SEA","L","5","9","","37-46","5","11.5","Happ","Chavez","","2:52","N","35,067","-"
"84","84","Saturday, Jul 4","boxscore","OAK","","SEA","W","2","0","","38-46","5","10.5","Graveman","Hernandez","Clippard","2:36","D","18,915","+"
"85","85","Sunday, Jul 5","boxscore","OAK","","SEA","L","1","2","","38-47","5","10.5","Montgomery","Bassitt","Rodney","2:47","D","22,163","-"
