,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
177,afternoon,Wednesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
178,morning,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,70,Wednesday,afternoon,0,0,70,1,1,0,0,0,0,0,55
179,afternoon,Thursday,COLOR,JOANNE,STYLE,BECKY,1,80,Tuesday,morning,0,0,150,2,2,0,0,0,0,0,2
180,afternoon,Saturday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
181,morning,Saturday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
182,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,170,Saturday,morning,0,1,170,2,1,1,2,0,0,0,33
183,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,170,Saturday,morning,0,1,170,2,1,1,2,0,0,0,33
184,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,195,Thursday,morning,0,1,365,4,2,2,4,0,0,0,35
185,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,195,Thursday,morning,0,1,365,4,2,2,4,0,0,0,35
186,morning,Friday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
187,afternoon,Tuesday,STYLE,HOUSE,STYLE,BECKY,1,60,Friday,morning,0,0,60,1,1,0,0,0,0,0,11
188,afternoon,Thursday,STYLE,BECKY,STYLE,HOUSE,1,230,Tuesday,afternoon,0,0,290,2,2,0,0,0,0,1,9
189,afternoon,Tuesday,STYLE,BECKY,STYLE,BECKY,1,0,Thursday,afternoon,1,0,340,3,3,0,0,0,1,1,5
190,evening,Thursday,STYLE,BECKY,STYLE,BECKY,1,0,Tuesday,afternoon,1,0,390,4,4,0,0,0,2,1,9
191,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,0,Thursday,evening,1,0,440,5,5,0,0,0,3,1,5
192,afternoon,Saturday,STYLE,BECKY,STYLE,BECKY,1,0,Tuesday,evening,1,0,490,6,6,0,0,0,4,1,11
193,afternoon,Wednesday,STYLE,HOUSE,STYLE,BECKY,1,0,Saturday,afternoon,1,0,540,7,7,0,0,0,5,0,4
194,,Tuesday,STYLE,BECKY,STYLE,HOUSE,1,250,Wednesday,afternoon,0,0,790,8,8,0,0,0,5,0,6
195,,Thursday,STYLE,BECKY,STYLE,BECKY,0,0,Tuesday,,0,0,790,9,9,0,0,1,5,1,9
196,morning,Tuesday,STYLE,BECKY,STYLE,BECKY,0,0,Thursday,,1,0,790,10,10,0,0,2,6,1,19
197,afternoon,Saturday,STYLE,BECKY,STYLE,BECKY,1,0,Tuesday,morning,1,0,840,11,11,0,0,2,7,1,11
198,,Tuesday,STYLE,BECKY,STYLE,BECKY,1,0,Saturday,afternoon,1,0,890,12,12,0,0,2,8,0,3
199,evening,Thursday,STYLE,BECKY,STYLE,BECKY,0,0,Tuesday,,0,0,890,13,13,0,0,3,8,1,2
200,,Friday,STYLE,BECKY,STYLE,BECKY,1,0,Thursday,evening,1,0,940,14,14,0,0,3,9,0,8
201,,Saturday,STYLE,BECKY,STYLE,BECKY,0,0,Friday,,0,0,940,15,15,0,0,4,9,0,1
202,evening,Saturday,STYLE,BECKY,STYLE,BECKY,0,0,Friday,,0,0,940,15,15,0,0,4,9,1,1
