"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"54","54","Friday, Jun 4","boxscore","TEX","","TBR","W","9","6","","29-25","1","up 1.0","Wilson","Davis","Feliz","3:10","N","36,245","+"
"55","55","Saturday, Jun 5","boxscore","TEX","","TBR","W","6","1","","30-25","1","up 1.5","Hunter","Shields","","2:25","D","25,853","++"
"56","56","Sunday, Jun 6","boxscore","TEX","","TBR","L","5","9","","30-26","1","up 0.5","Garza","Harden","","4:06","D","26,932","-"
"57","57","Monday, Jun 7","boxscore","TEX","","SEA","L","2","4","","30-27","2","0.5","Lee","Feldman","","2:40","N","20,152","--"
"58","58","Tuesday, Jun 8","boxscore","TEX","","SEA","W","7","1","","31-27","1","up 0.5","Lewis","Hernandez","","2:40","N","18,774","+"
"59","59","Wednesday, Jun 9","boxscore","TEX","","SEA","W","12","2","","32-27","1","up 0.5","Wilson","Snell","","2:50","N","26,432","++"
"60","60","Thursday, Jun 10","boxscore","TEX","","SEA","W","12","3","","33-27","1","up 1.5","Hunter","Rowland-Smith","","2:29","N","19,674","+++"
"61","61","Friday, Jun 11","boxscore","TEX","@","MIL","L","2","6","","33-28","1","up 0.5","Narveson","Harden","","2:25","N","33,099","-"
"62","62","Saturday, Jun 12","boxscore","TEX","@","MIL","W","4","3","","34-28","1","up 0.5","Feldman","Parra","Ray","3:16","N","39,791","+"
"63","63","Sunday, Jun 13","boxscore","TEX","@","MIL","W","7","2","","35-28","1","up 0.5","Lewis","Gallardo","","2:58","D","36,059","++"
"64","64","Tuesday, Jun 15","boxscore","TEX","@","FLA","W","3","2","","36-28","1","up 2.0","Ogando","Oviedo","Feliz","3:04","N","17,130","+++"
"65","65","Wednesday, Jun 16","boxscore","TEX","@","FLA","W","6","3","","37-28","1","up 2.0","O'Day","Sanchez","Feliz","2:50","N","17,014","++++"
"66","66","Thursday, Jun 17","boxscore","TEX","@","FLA","W","6","4","","38-28","1","up 2.5","Ogando","Nolasco","Feliz","2:57","N","11,683","+++++"
"67","67","Friday, Jun 18","boxscore","TEX","@","HOU","W","9","3","","39-28","1","up 2.5","Feldman","Rodriguez","","2:52","N","33,951","++++++"
"68","68","Saturday, Jun 19","boxscore","TEX","@","HOU","W","5","1","","40-28","1","up 2.5","Lewis","Moehler","","2:25","N","41,060","+++++++"
"69","69","Sunday, Jun 20","boxscore","TEX","@","HOU","W","5","4","10","41-28","1","up 3.5","Ray","Daigle","Feliz","3:38","D","33,753","++++++++"
"70","70","Tuesday, Jun 22","boxscore","TEX","","PIT","W","6","3","","42-28","1","up 3.5","Hunter","Ohlendorf","Feliz","2:45","N","23,083","+++++++++"
"71","71","Wednesday, Jun 23","boxscore","TEX","","PIT","W","13","3","","43-28","1","up 3.5","Ogando","Maholm","Harrison","3:10","N","33,646","++++++++++"
"72","72","Thursday, Jun 24","boxscore","TEX","","PIT","W-wo","6","5","","44-28","1","up 4.5","Francisco","Jackson","","3:06","N","19,567","+++++++++++"
"73","73","Friday, Jun 25","boxscore","TEX","","HOU","L","4","7","","44-29","1","up 4.5","Moehler","Lewis","Lindstrom","3:45","N","43,457","-"
"74","74","Saturday, Jun 26","boxscore","TEX","","HOU","W","7","2","","45-29","1","up 4.5","Wilson","Banks","","2:55","D","28,951","+"
"75","75","Sunday, Jun 27","boxscore","TEX","","HOU","W","10","1","","46-29","1","up 4.5","Hunter","Oswalt","","2:38","N","37,487","++"
"76","76","Tuesday, Jun 29","boxscore","TEX","@","LAA","L","5","6","","46-30","1","up 3.5","Pineiro","Feldman","Fuentes","3:03","N","38,514","-"
"77","77","Wednesday, Jun 30","boxscore","TEX","@","LAA","W","6","4","","47-30","1","up 4.5","Nippert","Kazmir","Feliz","3:04","N","41,867","+"
"78","78","Thursday, Jul 1","boxscore","TEX","@","LAA","L","1","2","","47-31","1","up 3.5","Weaver","Wilson","Fuentes","2:55","N","41,162","-"
"79","79","Friday, Jul 2","boxscore","TEX","","CHW","L","3","5","","47-32","1","up 3.5","Putz","Feliz","Thornton","2:54","N","30,193","--"
"80","80","Saturday, Jul 3","boxscore","TEX","","CHW","W","3","1","","48-32","1","up 4.5","Hunter","Danks","Feliz","2:33","N","25,986","+"
"81","81","Sunday, Jul 4","boxscore","TEX","","CHW","L","3","5","","48-33","1","up 3.5","Buehrle","Feldman","Thornton","2:27","N","45,020","-"
"82","82","Monday, Jul 5","boxscore","TEX","","CLE","L","3","9","","48-34","1","up 3.5","Smith","Beltre","","3:42","N","25,165","--"
"83","83","Tuesday, Jul 6","boxscore","TEX","","CLE","W","12","1","","49-34","1","up 4.5","Wilson","Masterson","","2:49","N","20,428","+"
"84","84","Wednesday, Jul 7","boxscore","TEX","","CLE","W","4","3","","50-34","1","up 5.5","Lewis","Talbot","Feliz","2:56","N","24,427","++"
"85","85","Thursday, Jul 8","boxscore","TEX","","BAL","L","4","6","","50-35","1","up 5.5","Hernandez","Francisco","Simon","3:14","N","16,240","-"
"86","86","Friday, Jul 9","boxscore","TEX","","BAL","L","6","7","10","50-36","1","up 4.5","Berken","Nippert","Simon","3:51","N","24,216","--"
"87","87","Saturday, Jul 10","boxscore","TEX","","BAL","L","1","6","","50-37","1","up 4.5","Tillman","Lee","","2:20","N","41,093","---"
"88","88","Sunday, Jul 11","boxscore","TEX","","BAL","L","1","4","","50-38","1","up 4.5","Arrieta","Wilson","Simon","3:24","D","24,566","----"
"89","89","Thursday, Jul 15","boxscore","TEX","@","BOS","W","7","2","","51-38","1","up 4.5","Hunter","Wakefield","","3:11","N","38,062","+"
"90","90","Friday, Jul 16","boxscore","TEX","@","BOS","W","8","4","","52-38","1","up 4.5","Lewis","Doubront","","3:21","N","37,669","++"
"91","91","Saturday, Jul 17","boxscore","TEX","@","BOS","L-wo","2","3","11","52-39","1","up 3.5","Delcarmen","Ogando","","2:58","N","37,744","-"
"92","92","Sunday, Jul 18","boxscore","TEX","@","BOS","W","4","2","","53-39","1","up 4.5","Wilson","Lester","Feliz","2:57","D","37,431","+"
"93","93","Monday, Jul 19","boxscore","TEX","@","DET","W","8","6","14","54-39","1","up 5.0","Harrison","Gonzalez","Feliz","4:53","N","26,626","++"
"94","94","Tuesday, Jul 20","boxscore","TEX","@","DET","W","8","0","","55-39","1","up 5.0","Hunter","Galarraga","","2:45","N","27,576","+++"
