main_category_en,additives_n,ingredients_from_palm_oil_n,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g
Sugary snacks,1.0,0.0,1990.0,32.5,17.5,60.0,47.5,0.0,5.0,0.0
Plant-based foods and beverages,0.0,1.0,2697.0,51.6,10.0,18.8,10.9,4.7,25.3,0.444881889764
Plant-based foods and beverages,0.0,0.0,2480.0,50.0,9.38,18.8,9.38,6.25,21.9,0.469
Plant-based foods and beverages,0.0,1.0,2679.0,52.2,10.0,16.6,9.4,3.8,25.6,0.334645669291
Plant-based foods and beverages,0.0,0.0,2480.0,50.0,9.38,18.8,9.38,6.25,21.9,0.469
Canned-precooked-meat,1.0,0.0,1340.0,28.6,10.7,1.79,0.0,0.0,12.5,1.41
Precooked-meat,2.0,0.0,1230.0,25.9,9.41,2.35,1.18,0.0,12.9,1.16
Plant-based foods and beverages,0.0,0.0,2480.0,50.0,9.38,18.8,9.38,6.25,21.9,0.469
Canned-precooked-meat,1.0,0.0,1300.0,27.6,10.3,1.72,0.0,0.0,12.1,1.36
Plant-based foods and beverages,1.0,0.0,1710.0,14.3,6.12,69.4,28.6,12.2,8.16,0.276
Plant-based foods and beverages,2.0,0.0,1670.0,0.0,0.0,88.0,12.0,0.0,8.0,0.56
Plant-based foods and beverages,2.0,0.0,1600.0,0.0,0.0,88.2,35.3,2.94,5.88,0.471
